path	status	review_depth	finding_ids	evidence
crates/beryl-app/src/composer_host/activation.rs	audited	full_bodies	AP-003	Examined 1-314. Opened/replay/selector/cancellation/restoration/initial-range paths and test fault cuts; conditional open custody cleanup is repeated.
crates/beryl-app/src/composer_host/error.rs	audited	full_bodies		Examined 1-131. All thiserror variants and source conversions; already uses existing derive, no additional error framework proposed.
crates/beryl-app/src/composer_host/history.rs	audited	full_bodies	AP-007	Examined 1-506. Begin identity replay, live/detached custody, durable reconciliation and committed position repair; request-sequence reset conflicts with current authority.
crates/beryl-app/src/composer_host/history/position.rs	audited	full_bodies		Examined 1-101. Exact UTF-8 position validation and bounded one-neighbor marker gap reconstruction; retain.
crates/beryl-app/src/composer_host/lifecycle/autosave.rs	audited	full_bodies	AP-002	Examined 1-238. Timer/settings generations, capture and failure rearm, publication completion; shared classification candidate only.
crates/beryl-app/src/composer_host/lifecycle/close.rs	audited	full_bodies		Examined 1-78. Exact close gate authorization/release and autosave custody transfer; distinct gate lifetime required.
crates/beryl-app/src/composer_host/lifecycle/flush.rs	audited	full_bodies	AP-002	Examined 1-457. Join/capture/publication/disposal and checkpoint fences; shared publication failure classification candidate.
crates/beryl-app/src/composer_host/lifecycle/mod.rs	audited	full_bodies		Examined 1-444. All lifecycle types/timer arithmetic/diagnostics/callback checks; unused dirty argument and duplicated completion plumbing inspected.
crates/beryl-app/src/composer_host/lifecycle/service.rs	audited	full_bodies		Examined 1-93. Service disposal releases or reconciles precise publication/disposal stage; do not collapse lifecycle with ordinary close.
crates/beryl-app/src/composer_host/lifecycle/settlement.rs	audited	full_bodies		Examined 1-209. Stage dispatch, cancellation, release and completion/error mappings; custody preserved.
crates/beryl-app/src/composer_host/mod.rs	audited	full_bodies		Examined 1-353. All host state/accessors/admission accounting/test hooks and generation allocator; compact restoration versus live custody retained.
crates/beryl-app/src/composer_host/model.rs	audited	full_bodies		Examined 1-419. All exact identities, bounded demand/request/response types and conversions; candidate/current/historical distinction retained.
crates/beryl-app/src/composer_host/mutation.rs	audited	full_bodies	AP-001	Examined 1-400. Both page frontiers, canonical replay validation, retained intent/phase/custody models and checked totals; shared progress payload candidate.
crates/beryl-app/src/composer_host/mutation/drive.rs	audited	full_bodies	AP-001	Examined 1-554. Every build/staging/page/rollback/settlement body including test-fault and normal cfg branches; duplicate translated batch preparation found.
crates/beryl-app/src/composer_host/mutation/execution.rs	audited	full_bodies	AP-001	Examined 1-560. Begin/stage/finish/current and detached execution, terminal custody, fault branches and key conversions; no scenario sampling.
crates/beryl-app/src/composer_host/mutation/settlement.rs	audited	full_bodies	AP-007	Examined 1-122. Staging/build cancellation, exact committed binding adoption, all reconciliation alternatives; request-sequence reset observed.
crates/beryl-app/src/composer_host/mutation/translation.rs	audited	full_bodies	AP-001	Examined 1-480. Source/proposal translation, every object operation, metadata intake/map, scalar chunks and canonical positions; exact marker proof retained.
crates/beryl-app/src/composer_host/publication.rs	audited	full_bodies		Examined 1-452. All capture/authentication/evidence/Asset-plan and lane/custody definitions; captured/published and opaque source responsibilities remain distinct.
crates/beryl-app/src/composer_host/publication/disposal.rs	audited	full_bodies		Examined 1-241. Exact clean-disposal ticket, admitted/reconciling/terminal custody and noncommit/collision mapping; retain.
crates/beryl-app/src/composer_host/publication/execution.rs	audited	full_bodies		Examined 1-337. Execution/reconciliation/convergence reads, exact or same-session successor classification, Asset contributions and fault cut; preserve.
crates/beryl-app/src/composer_host/publication/lane.rs	audited	full_bodies		Examined 1-435. All clean/captured/sealing/releasing/terminal paths and cfg diagnostics; retained sealed evidence prevents losing proof on preparation error.
crates/beryl-app/src/composer_host/request.rs	audited	full_bodies	AP-007	Examined 1-342. All admission/cancel/execute/complete read cases and target/root/restoration checks, including independent before/after observations.
crates/beryl-app/src/composer_host/submission.rs	audited	full_bodies	AP-002	Examined 1-503. Entire flush/capture/materializer/acceptance-transition flow including restoring original stage on errors and cfg cuts; shared flush-result application candidate.
crates/beryl-app/src/composer_host/submission/acceptance.rs	audited	full_bodies		Examined 1-139. Every cancellation/free-space/final-command/reconciliation outcome and test fault cut; retain exact send-and-clear boundary.
crates/beryl-app/src/composer_host/submission/diagnostics.rs	audited	full_bodies		Examined 1-63. All bounded stage diagnostics and test acceptance projection; no independent reduction identified.
crates/beryl-app/src/composer_host/submission/disposal.rs	audited	full_bodies		Examined 1-35. Exact outstanding reconciliation settlement before dropping submission; result-discard match can be direct call but no material saving.
crates/beryl-app/src/composer_host/submission/model.rs	audited	full_bodies		Examined 1-216. All opaque submission identities, captured selector versus live candidate, stage/error/diagnostics models and cfg variants; retain.
crates/beryl-app/src/composer_marker_seal.rs	audited	full_bodies	AP-008	Examined 1-473. All construction/global registry, lock-release-drive-lock completion, retirement, clone/drop and cfg fault bodies; registry removal already mandated by architecture, not new savings.
crates/beryl-app/src/composer_marker_seal/admission.rs	audited	full_bodies		Examined 1-148. All exact candidate/supersession validation, same-operation/staging conflict, coalescing, limits and locked recheck paths; retain.
crates/beryl-app/src/composer_marker_seal/drive.rs	audited	full_bodies	AP-004	Examined 1-320. All begin/page/Asset seal/replay and EOF paths; begin Sealed-nonempty branch duplicates existing completed_nonempty helper.
crates/beryl-app/src/composer_marker_seal/durability.rs	audited	full_bodies		Examined 1-156. Cross-domain frontier validation, exact command resolution, generation retirement and both cfg fault types; retain.
crates/beryl-app/src/composer_marker_seal/terminal.rs	audited	full_bodies	AP-004	Examined 1-286. All release/active-drive race, exact intent, disposal and durable status mapping bodies; release-admission tail can be shared without deleting checks.
crates/beryl-app/src/composer_marker_seal/types.rs	audited	full_bodies		Examined 1-347. Every request, outcome, typed error, limit clamp and redacted Debug implementation; no error-derive saving (already derives).
crates/beryl-app/src/text_input.rs	audited	full_bodies		Examined 1-13. Reexports and sole shared keybinding delegation; already minimal.
crates/beryl-app/tests/draft_marker_seal_lifecycle.rs	audited	full_bodies	AP-008	Examined 1-785. All terminal intent/replay/supersession drift, lock/construction, three command fault cuts and active/final drive release-dispose-retire races. Keep fault timelines; share only fixture mechanics.
crates/beryl-app/tests/draft_marker_seal_lifecycle/support.rs	audited	full_bodies	AP-005	Examined 1-159. Every session/text/marker and asset setup plus service/request/admitted helper; duplicates service-support mechanics with explicit text/page differences.
crates/beryl-app/tests/draft_marker_seal_service.rs	audited	full_bodies	AP-008	Examined 1-720. Every empty/nonempty atomic-page, delayed metadata, indeterminate, cap/coalescing, secret, resume, independent-home and 65-to-64 clamp case; retain assertions.
crates/beryl-app/tests/draft_marker_seal_service/support.rs	audited	full_bodies	AP-005	Examined 1-193. All marker/published-marker session, service/request/admitted and asset sidecar/publication helpers; shared fixture candidate.
crates/beryl-app/tests/syndic_composer_history.rs	audited	full_bodies		Examined 1-482. Every undo/redo branch/retention/restart, cancellation replay, conflict/error/collision, missing history and postcommit position failure case; preserve.
crates/beryl-app/tests/syndic_composer_history/support.rs	audited	full_bodies	AP-006	Examined 1-470. All activation/text/object/history mutation and candidate byte read helpers; common single-page edit mechanics duplicate mutation and population helpers.
crates/beryl-app/tests/syndic_composer_host.rs	audited	full_bodies		Examined 1-116. All cfg modules/imports plus activation/key/demand/request/run bodies; compact test bootstrap.
crates/beryl-app/tests/syndic_composer_host/activation_replay.rs	audited	full_bodies		Examined 1-192. Entire activation/replay/failure/identity/pending-limit sequence; repeated default text request construction can use existing text_request helper.
crates/beryl-app/tests/syndic_composer_host/range_custody.rs	audited	full_bodies		Examined 1-433. Entire three-block test including current/candidate/historical reads, exact proof ceilings, continuation, UTF-8, restoration and release; keep distinct scopes.
crates/beryl-app/tests/syndic_composer_host/read_drift.rs	audited	full_bodies		Examined 1-161. Both current versus candidate and marker-page versus proof branches with exact drift injection; retain independent reads.
crates/beryl-app/tests/syndic_composer_host/stale_completion.rs	audited	full_bodies	AP-007	Examined 1-79. Complete same-id ABA helper and both invocations across replacement; preserve request/presentation identity checks.
crates/beryl-app/tests/syndic_composer_host/support.rs	audited	full_bodies		Examined 1-398. Every temp-home/fault/reopen/transaction/build/session/marker helper, including cfg fault fixture; duplicates ordinary fixture thread setup.
crates/beryl-app/tests/syndic_composer_host/support/populate.rs	audited	full_bodies	AP-006	Examined 1-436. All admitted marker begin/page/finish/transfer/build/release and ordinary commit-page fixture bodies; share mechanics only, preserve readiness custody.
crates/beryl-app/tests/syndic_composer_host/typed_failures.rs	audited	full_bodies		Examined 1-174. Entire disposed/missing/corrupt aggregate/selector-drift scenario sequence and cfg definitions; exact typed failures retained.
crates/beryl-app/tests/syndic_composer_mutations.rs	audited	full_bodies	AP-006	Examined 1-367. All module/bootstrap and begin/stage/finish/commit/reactivation/read/totals helpers; single-page mechanics overlap history support.
crates/beryl-app/tests/syndic_composer_mutations/empty_custody.rs	audited	full_bodies		Examined 1-358. All synthetic-empty/source retry, exact finish extent/position, pre-admission and building cancellation, widget/internal corruption/fail-closed custody scenarios and cfg helpers; retain separate fault timelines.
crates/beryl-app/tests/syndic_composer_mutations/marker_conflict.rs	audited	full_bodies		Examined 1-619. Every leading marker/text deletion, insert/replace/move/remove, 256/257 metadata boundary, later proposal page and stale candidate/lower-operation conflict scenario plus helpers; retain independent marker/text assertions.
crates/beryl-app/tests/syndic_composer_mutations/metadata_intake.rs	audited	full_bodies		Examined 1-235. All empty-edit/page helpers and source metadata, exact mixed-proposal metadata count, duplicate identity rejection and corrected retry tests; checks prove no frontier/storage effect before valid admission.
crates/beryl-app/tests/syndic_composer_mutations/outcomes.rs	audited	full_bodies		Examined 1-450. All restart, detached late commit/conflict/cancel, indeterminate begin/batch/finish/build and cancellation, source-selected payload owner, empty rejection and history-budget error cases; no scenario deletion proposed.
crates/beryl-app/tests/syndic_composer_mutations/protocol_pages.rs	audited	full_bodies		Examined 1-392. Every small-edit/many-page/max-257-physical-pages/replay/wrong-cursor/byte-limit and generation-reset case; preserve payload-owner/frontier assertions.
crates/beryl-app/tests/syndic_composer_publication.rs	audited	full_bodies	AP-006	Examined 1-1834. Entire 1834-line file including test-only lifecycle adapter, every sealing/publication/replay/supersession/disposal/fault timeline, 32-MiB stack helper, capture/drive/lower-source/coherence helpers and cfg/imports. Reuse only repeated helper mechanics.
crates/beryl-app/tests/syndic_composer_publication/support.rs	audited	full_bodies	AP-005,AP-006	Examined 1-439. All service/authority, two-marker/text/object edits, readiness seed/begin/release and sidecar metadata helpers. Share ordinary page and asset mechanics while preserving readiness custody and literal expectations.
crates/beryl-app/tests/syndic_marker_summary.rs	audited	full_bodies	AP-005	Examined 1-603. Both complete atomic Syndic/Asset integration scenarios and seal-root/reference-set/asset helpers plus include/import context; preserve independent sequential/ordered digest mismatch and rollback assertions.
