path	status	review_depth	finding_ids	evidence
crates/beryl-app/src/cas_projection/connection.rs	audited	declarations_only		All imports/reexports/module/constant/enum declarations examined; no implementation bodies.
crates/beryl-app/src/cas_projection/connection/attachment.rs	audited	full_bodies	AC-003	Full bodies: immutable attachment; cancellation independent of runtime lock; poisoned handle still joined; exact terminal receipt.
crates/beryl-app/src/cas_projection/connection/authority.rs	audited	full_bodies	AC-001	All physical file bodies/types/macros/cfg examined; see linked file-level findings; all assigned source/test bodies reviewed.
crates/beryl-app/src/cas_projection/connection/driver.rs	audited	full_bodies	AC-002,BR-004	All physical file bodies/types/macros/cfg examined; see linked file-level findings; all assigned source/test bodies reviewed.
crates/beryl-app/src/cas_projection/connection/driver_outcome.rs	audited	full_bodies		Full bodies: preserves operation result plus first routing failure; small typed envelope retained.
crates/beryl-app/src/cas_projection/connection/forwarding_hub.rs	audited	full_bodies		Full bodies/cfg hooks: single attachment, inert barrier, thread-close routing and ownership-preserving sink forwarding retained pending larger topology review.
crates/beryl-app/src/cas_projection/connection/lease.rs	audited	full_bodies		Full bodies: raw seed unwind custody, exact lease tokens, release-before-unsubscribe, master-gate Drop settlement retained.
crates/beryl-app/src/cas_projection/connection/lease/terminal_disposition.rs	audited	full_bodies		Full bodies: move-only terminal/local registry disposition wrappers preserve no-backend-I/O Drop.
crates/beryl-app/src/cas_projection/connection/lifecycle.rs	audited	full_bodies	AC-003,AC-005	All physical file bodies/types/macros/cfg examined; see linked file-level findings; all assigned source/test bodies reviewed.
crates/beryl-app/src/cas_projection/connection/persistent_failure.rs	audited	full_bodies		Full bodies including three source-local tests: exact-cut one-shot obligations, first result, attempted-on-unwind fallback retained.
crates/beryl-app/src/cas_projection/connection/provider_broker.rs	audited	declarations_only	AC-005	All imports/reexports/module/constant/enum declarations examined; no implementation bodies.
crates/beryl-app/src/cas_projection/connection/provider_broker/approval.rs	audited	full_bodies		Full bodies: reservation/close-after-install/Pending distinctions preserve concurrent cancellation.
crates/beryl-app/src/cas_projection/connection/provider_broker/channel.rs	audited	full_bodies		Full bodies/cfg: ack preserves sole operation ownership through cancellation; typed special replies and metrics ordering retained.
crates/beryl-app/src/cas_projection/connection/provider_broker/consumer.rs	audited	full_bodies		Full bodies: separate prepare/publication, route-bound frame/issue and typed custody/error classification retained.
crates/beryl-app/src/cas_projection/connection/provider_broker/consumer/lifecycle.rs	audited	full_bodies		Full bodies: exact predecessor/lifecycle/kind/time classification retained.
crates/beryl-app/src/cas_projection/connection/provider_broker/consumer/staging.rs	audited	full_bodies	AC-004	All physical file bodies/types/macros/cfg examined; see linked file-level findings; all assigned source/test bodies reviewed.
crates/beryl-app/src/cas_projection/connection/provider_broker/ingester.rs	audited	full_bodies	AC-005,AC-006	All physical file bodies/types/macros/cfg examined; see linked file-level findings; all assigned source/test bodies reviewed.
