path	status	review_depth	finding_ids	evidence
crates/beryl-app/src/cas_projection/cancellation.rs	audited	full_bodies		One-way release/acquire atomic cancellation observed at safe operation boundaries; no smaller contract-preserving owner needed.
crates/beryl-app/src/cas_projection/context_compaction/coordinator.rs	audited	full_bodies	AX-001,AX-002,AX-019,AX-020	All coordinator construction, queue and worker bounds, shutdown/join poison tests, counters, nonce/time, and shared deadline bodies reviewed; admission duplication tracked in AX-001 and high-water CAS in AX-002.
crates/beryl-app/src/cas_projection/context_compaction/coordinator/admission.rs	audited	full_bodies	AX-001,AX-019	Manual/lifecycle admission duplicates exact durable admission, reread, target conversion and enqueue cleanup; AX-001. Projection scan keeps exact runtime/lease/binding identity and duplicate-owner rejection.
crates/beryl-app/src/cas_projection/context_compaction/coordinator/dispatch.rs	audited	full_bodies		Dispatch/classification/terminal wait bodies and cfg branches reviewed; retain terminal-before-response distinction, no resend and original target reclamation; AX-002 counter call site.
crates/beryl-app/src/cas_projection/context_compaction/coordinator/model.rs	audited	full_bodies		Request timeout, outcomes, error/source fields and diagnostics accessors reviewed; whole-second bounded wait contract retained.
crates/beryl-app/src/cas_projection/context_compaction/coordinator/settlement.rs	audited	full_bodies		Provider publication, lifecycle content staging, fence, terminal success and settlement bodies reviewed; preserve exact marker plus terminal, user-work election and custody installation.
crates/beryl-app/src/cas_projection/context_compaction/coordinator/test_faults.rs	audited	full_bodies		All test-fault and lifecycle harness bodies reviewed; distinct post-staging/worker capacity cuts retained; possible small common pause mechanics folded into later test support synthesis.
crates/beryl-app/src/cas_projection/context_compaction/mod.rs	audited	declarations_only		Only module declarations and cfg reexports; all examined.
crates/beryl-app/src/cas_projection/context_compaction/target.rs	audited	full_bodies		Exact operation/provider-turn identity wrapper bodies reviewed; retained because typed router authority differs from generic ids.
crates/beryl-app/src/cas_projection/error.rs	audited	full_bodies		All error variants, thiserror attributes, constructors and match accessors reviewed; source-preserving classified error API retained.
crates/beryl-app/src/cas_projection/execute.rs	audited	full_bodies	AX-003,AX-010	All plan dispatch, current/resume acquisition and retirement/replan paths reviewed; shared mechanics AX-003, exact binding publication and recovered-generation rejection retained.
crates/beryl-app/src/cas_projection/execute/cleanup.rs	audited	full_bodies	AX-004	All stale observation constructors and cleanup publication/release bodies reviewed; unused parameters and repetitive call plumbing AX-004; unknown/partial/exact provenance remains distinct.
crates/beryl-app/src/cas_projection/execute/decision.rs	audited	full_bodies	AX-003,AX-010	All public/internal retry/preflight/recovery and exact-decision validation/retirement bodies reviewed; AX-003 shares mechanics without changing consuming authorization.
crates/beryl-app/src/cas_projection/execute/fresh.rs	audited	full_bodies	AX-004,AX-010	Fresh creation, registry admission, idle check, durable publication and abandonment reviewed; explicit lease/unknown provenance and cleanup retained; AX-004.
crates/beryl-app/src/cas_projection/execute/native.rs	audited	full_bodies	AX-003,AX-004,AX-010	Full resume/fork/retirement/replan/helpers reviewed; cross-thread source flight and independent source/target revision preserved; AX-003.
crates/beryl-app/src/cas_projection/execute/native_retry.rs	audited	full_bodies		Full bounded three-attempt rejection retry and 10-ms cancellation wait reviewed; no generic retry crate warranted for this narrow classified protocol.
crates/beryl-app/src/cas_projection/execute/recovery.rs	audited	full_bodies	AX-004,AX-010	All recovery preparation, single-page source transfer, injection outcomes, completion-time/proof/publication and abandonment paths reviewed; AX-004 removes mechanical duplication only.
crates/beryl-app/src/cas_projection/execute/recovery/source.rs	audited	full_bodies		All page adaptation, closed role/error mapping and domain-separated complete source identity hashing reviewed; retain no-copy page lease and exact identity fields.
crates/beryl-app/src/cas_projection/execute/support.rs	audited	full_bodies		Point bound, post-success completion timestamp, process-generation predicate, load options and capability construction reviewed; no independent reduction beyond execution helper scope.
crates/beryl-app/src/cas_projection/execution_error.rs	audited	full_bodies		All execution/publication error variants, source fields and boxed conversions reviewed; current thiserror already handles presentation.
crates/beryl-app/src/cas_projection/live_source.rs	audited	full_bodies	AX-007,AX-008,AX-010	All target/frontier reads, guarded provider publication, unused private status helper and monotonic timestamp bodies reviewed; possible dead status helper pending complete reference validation.
crates/beryl-app/src/cas_projection/mod.rs	audited	declarations_only		All modules, cfg gates and typed reexports examined; declarations only, unmounted live architecture is not dead.
crates/beryl-app/src/cas_projection/model.rs	audited	full_bodies	AX-005	All request/decision/capability fields, accessors, exact-plan matching, redacted Debug, lease consumption and Drop reviewed; AX-005 direct owner representation.
crates/beryl-app/src/cas_projection/native_lineage_recovery.rs	audited	full_bodies	AX-005,AX-006	All production/test cfg route methods, capacity reservations/wakes, parked work, attempts and Drop bodies reviewed; AX-005 owner representation and AX-006 tuple take defect.
crates/beryl-app/src/cas_projection/persistent_failure.rs	audited	full_bodies		All reexports and cfg test notification constructor reviewed; helper intentionally retains exact home and allocated service generation.
crates/beryl-app/src/cas_projection/persistent_failure/coordinator.rs	audited	declarations_only	AX-012	All imports, cfg import and module/type reexports reviewed; declarations only.
crates/beryl-app/src/cas_projection/persistent_failure/coordinator/lifecycle.rs	audited	full_bodies	AX-012	All worker construction, initial gate, snapshot, terminal disposer, shutdown and poison-aware join bodies reviewed; exact service/home ownership retained.
crates/beryl-app/src/cas_projection/persistent_failure/coordinator/terminal_disposer.rs	audited	full_bodies	AX-012	Loaded and target disposers intentionally take different exact lease/registry owners; counter mutation retained.
crates/beryl-app/src/cas_projection/persistent_failure/coordinator/types.rs	audited	full_bodies	AX-012	All cut state/snapshot/evidence fields and accessors, worker/disposer ownership and redacted Debug reviewed; unused pending wrapper and notify-only Condvar investigated.
crates/beryl-app/src/cas_projection/persistent_failure/coordinator/worker.rs	audited	full_bodies	AX-012	All worker cut/freeze/obligation install/wait/finalization and bounded Drop bodies reviewed; preserve all-target freeze before dispatch and exact result classification.
crates/beryl-app/src/cas_projection/persistent_failure/gate.rs	audited	full_bodies	AX-008	All election/status/frontier/closure/drain/poison bodies and cfgs reviewed; constant-false health retry protocol removable; sticky ordinary owner and local failure precedence retained.
crates/beryl-app/src/cas_projection/persistent_failure/gate/authorizer.rs	audited	full_bodies	AX-009	All admission, frontier, status, notification and gate-held bounded authority callback bodies reviewed; retained exact permit counts and callback order.
crates/beryl-app/src/cas_projection/persistent_failure/gate/permit.rs	audited	full_bodies	AX-008,AX-009	All permit transfer/current checks, home before/after health fence, typed loss release and destructor notification bodies reviewed; duplicate matches simplifiable with local failure semantics distinct.
crates/beryl-app/src/cas_projection/persistent_failure/gate/tests.rs	audited	full_bodies		All fourteen exact gate election/concurrency scenarios and cfgs examined; keep callback ordering, stale permit and close-owner precedence assertions.
crates/beryl-app/src/cas_projection/persistent_failure/model.rs	audited	full_bodies		All nonzero service/failure generations, atomic exhaustion and exact cut identity bodies reviewed; typed identities retained.
crates/beryl-app/src/cas_projection/persistent_failure/notification.rs	audited	full_bodies		All exact failure observation/notification/disposer attachment/channel bodies reviewed; one-way coalescing and weak home ownership retained.
crates/beryl-app/src/cas_projection/persistent_failure/notification/test_support.rs	audited	full_bodies		All faulted-home creation, settings commit panic and retained fixture bodies reviewed; intentional persistent failure independent oracle retained.
crates/beryl-app/src/cas_projection/provider_frame.rs	audited	full_bodies	AX-007,AX-008	All frame preparation/begin/stage/compare/publication/read/id paths, errors and unused dispatch helper reviewed; obsolete staging/status machinery candidate, single-pass health read candidate.
crates/beryl-app/src/cas_projection/provider_identity.rs	audited	full_bodies		Complete domain-separated item/content identity hashing reviewed; preserve separators, input scope and truncation semantics.
crates/beryl-app/src/cas_projection/publication.rs	audited	full_bodies	AX-010	All publication wrappers, current-domain dispatch, custody outcome mapping and checked revision returns reviewed; AX-010 removes forwarding and unused arguments.
crates/beryl-app/src/cas_projection/runtime.rs	audited	full_bodies		All session accessors, generic serialized call, loaded-thread adapters and destructor reviewed; session-owner release is real lifecycle work and remains.
crates/beryl-app/src/cas_projection/service.rs	audited	full_bodies		All owned service/coordinator types, error variants, cfg include mounts and LiveHomeCommand accessor reviewed; distinct store borrow/permit lifetime remains.
crates/beryl-app/src/cas_projection/service/admission.rs	audited	full_bodies		All production/test candidate admission, permit-before-connect, launch identity and registry methods reviewed; separate nonauthorizing fixture path retained.
crates/beryl-app/src/cas_projection/service/commands.rs	audited	full_bodies		All lifecycle/compaction/stop/window-close command preparation, exact target scan and live-home borrowing reviewed; exact cause and primary/join semantics retained.
crates/beryl-app/src/cas_projection/service/construction.rs	audited	full_bodies	AX-020	Entire new/construct startup sequence reviewed; partial-construction join gaps remain zero-savings lifecycle observations, not deletion of target fresh startup gating.
crates/beryl-app/src/cas_projection/service/flight_registry.rs	audited	full_bodies		Full process-wide flight acquire/acquire-or-arm/release and home fencing reviewed; single optional wake fact retained with exact home/thread generation.
crates/beryl-app/src/cas_projection/service/scheduling.rs	audited	full_bodies		All diagnostics, test-fault controls, worker/flight acquisition, provider/session lease validation and cfg test methods reviewed; source boundaries remain typed and exact.
crates/beryl-app/src/cas_projection/service/shutdown.rs	audited	full_bodies	AX-011	Both explicit shutdown modes, implicit request path and Drop reviewed; AX-011 shares only mechanics, preserves join completion/error precedence and home outcome.
crates/beryl-app/src/cas_projection/service_config.rs	audited	full_bodies	AX-005	Full config derivation/bounds, worker-role reservation/acquisition/release, waiters and permit pair bodies reviewed; candidate direct worker permit avoids unshared Arc; retain atomic pair acquisition and protected steering reserve.
