path	status	review_depth	finding_ids	evidence
crates/syndic-storage/src/draft_piece/mod.rs	audited	full_bodies	DP-009	All constants, functions, cfg exports and module relationships examined; fixed staging/build/read ceilings and opaque protocol boundaries retained.
crates/syndic-storage/src/draft_piece/mutation.rs	audited	full_bodies	DP-001,DP-009	All implementation/type/cfg bodies examined against exact V7, bounded acquisition and atomic custody authority; proposals are private construction or diagnostic mechanics only.
crates/syndic-storage/src/draft_piece/mutation/settlement.rs	audited	full_bodies	DP-009	All settlement branches and contribution bodies examined; committed root/history/session/build receipt atomicity and distinct noncommit proofs retained.
crates/syndic-storage/src/draft_piece/publication.rs	audited	full_bodies	DP-003,DP-006	All implementation/type/cfg bodies examined against exact V7, bounded acquisition and atomic custody authority; proposals are private construction or diagnostic mechanics only.
crates/syndic-storage/src/draft_piece/publication/abandon_fresh.rs	audited	full_bodies	DP-004	All implementation/type/cfg bodies examined against exact V7, bounded acquisition and atomic custody authority; proposals are private construction or diagnostic mechanics only.
crates/syndic-storage/src/draft_piece/publication/disposal.rs	audited	full_bodies	DP-004	All implementation/type/cfg bodies examined against exact V7, bounded acquisition and atomic custody authority; proposals are private construction or diagnostic mechanics only.
crates/syndic-storage/src/draft_piece/session.rs	audited	full_bodies	DP-003,DP-006,DP-009,DP-010	All implementation/type/cfg bodies examined against exact V7, bounded acquisition and atomic custody authority; proposals are private construction or diagnostic mechanics only.
crates/syndic-storage/src/draft_piece/staging_model.rs	audited	declarations_only	DP-009	All module and export declarations examined; this file contains no implementation body.
crates/syndic-storage/src/draft_piece/staging_model/begin_page.rs	audited	full_bodies	DP-009	All constructors, accessors, lane/page/head and bounded begin models examined; independent key/value and command evidence remain required.
crates/syndic-storage/src/draft_piece/staging_model/identity.rs	audited	full_bodies	DP-009	All identity/digest/reference constructors and accessors examined; exact nonzero ordinal and natural owner identity retained.
crates/syndic-storage/src/draft_piece/staging_model/receipt_status.rs	audited	full_bodies	DP-002,DP-009	All implementation/type/cfg bodies examined against exact V7, bounded acquisition and atomic custody authority; proposals are private construction or diagnostic mechanics only.
crates/syndic-storage/src/draft_piece/staging_model/terminal.rs	audited	full_bodies	DP-009	All closed terminal request/observed-pair/custody evidence examined; no safe outcome-union collapse identified.
crates/syndic-storage/src/draft_piece/staging.rs	audited	full_bodies	DP-006	All implementation/type/cfg bodies examined against exact V7, bounded acquisition and atomic custody authority; proposals are private construction or diagnostic mechanics only.
crates/syndic-storage/src/draft_piece/staging/acquisition.rs	audited	full_bodies	DP-009	All acquisition accounting examined; read and complete encoded-value byte budgets are charged before every bounded point read.
crates/syndic-storage/src/draft_piece/staging/digest.rs	audited	full_bodies	DP-002	All implementation/type/cfg bodies examined against exact V7, bounded acquisition and atomic custody authority; proposals are private construction or diagnostic mechanics only.
crates/syndic-storage/src/draft_piece/staging/integrity.rs	audited	full_bodies	DP-002,DP-009	All implementation/type/cfg bodies examined against exact V7, bounded acquisition and atomic custody authority; proposals are private construction or diagnostic mechanics only.
crates/syndic-storage/src/draft_piece/staging/mutations.rs	audited	full_bodies	DP-005	All implementation/type/cfg bodies examined against exact V7, bounded acquisition and atomic custody authority; proposals are private construction or diagnostic mechanics only.
crates/syndic-storage/src/draft_piece/staging/prepare_batch.rs	audited	full_bodies	DP-009	All page-batch preparation examined; consecutive lane/ordinal/cursor validation and one final atomic custody endpoint retained.
crates/syndic-storage/src/draft_piece/staging/prepare_begin_page.rs	audited	full_bodies	DP-002	All implementation/type/cfg bodies examined against exact V7, bounded acquisition and atomic custody authority; proposals are private construction or diagnostic mechanics only.
crates/syndic-storage/src/draft_piece/staging/prepare_finish.rs	audited	full_bodies	DP-002	All implementation/type/cfg bodies examined against exact V7, bounded acquisition and atomic custody authority; proposals are private construction or diagnostic mechanics only.
crates/syndic-storage/src/draft_piece/staging/prepare_terminal.rs	audited	full_bodies	DP-002	All implementation/type/cfg bodies examined against exact V7, bounded acquisition and atomic custody authority; proposals are private construction or diagnostic mechanics only.
crates/syndic-storage/src/draft_piece/staging/status.rs	audited	full_bodies	DP-005	All implementation/type/cfg bodies examined against exact V7, bounded acquisition and atomic custody authority; proposals are private construction or diagnostic mechanics only.
crates/syndic-storage/src/draft_piece/staging/terminal.rs	audited	full_bodies	DP-009	All terminal evidence matching and election bodies examined; terminal-before-begin conflict and admitted non-conflict outcomes remain distinct.
crates/syndic-storage/src/draft_piece/staging/transfer_builder.rs	audited	full_bodies	DP-005,DP-009	All implementation/type/cfg bodies examined against exact V7, bounded acquisition and atomic custody authority; proposals are private construction or diagnostic mechanics only.
crates/syndic-storage/src/draft_piece/test_unadmitted_marker.rs	audited	full_bodies	DP-009	All cfg-only registry and test capability bodies examined; explicit unadmitted marker fixture authorization retained.
crates/syndic-storage/tests/abandon_fresh_candidate.rs	audited	declarations_only		All cfg and path-module declarations examined; reuses history support and keeps six fresh-abandonment scenario modules.
crates/syndic-storage/tests/abandon_fresh_candidate/codec.rs	audited	full_bodies		All canonical tag-three and fresh/ordinary disposal substitution cases examined; exact independent codec assertions retained.
crates/syndic-storage/tests/abandon_fresh_candidate/concurrency.rs	audited	full_bodies		All mutation/publication serial-race scenarios in both orders examined; separate fresh eligibility and one-winner outcomes retained.
crates/syndic-storage/tests/abandon_fresh_candidate/reconciliation.rs	audited	full_bodies		All actual atomic cuts, retained collision custody, reopen and unauthorized-successor classifications examined; no scenario reduction identified.
crates/syndic-storage/tests/abandon_fresh_candidate/rejection.rs	audited	full_bodies		All stale/dirty/custody/disposed and selector-drift/identity cases examined; distinct admission outcomes retained.
crates/syndic-storage/tests/abandon_fresh_candidate/shared.rs	audited	full_bodies	DP-007	All test/scenario and helper bodies, cfg branches and macros examined; only shared construction mechanics proposed; independent bytes, positions, fault timing and intermediate custody assertions retained.
crates/syndic-storage/tests/abandon_fresh_candidate/success.rs	audited	full_bodies		All fresh abandonment, exact three-read preparation, canonical frontier reset, replay and reopen checks examined.
crates/syndic-storage/tests/atomic_staging_batches.rs	audited	full_bodies		All cases examined: two/one/max 257 pages, cancellation, overflow/mixed/gapped cursors, exact replay and reopened builder drain; scenarios retained.
crates/syndic-storage/tests/atomic_staging_batches/faults.rs	audited	full_bodies		All writer-cut, partial-prefix/occupied-target, missing-receipt and locally exact overflow fixtures examined; independent source/target assertions retained.
crates/syndic-storage/tests/atomic_staging_batches/support.rs	audited	full_bodies	DP-007	All test/scenario and helper bodies, cfg branches and macros examined; only shared construction mechanics proposed; independent bytes, positions, fault timing and intermediate custody assertions retained.
crates/syndic-storage/tests/draft_candidate_adoption.rs	audited	full_bodies	DP-007,DP-008	All test/scenario and helper bodies, cfg branches and macros examined; only shared construction mechanics proposed; independent bytes, positions, fault timing and intermediate custody assertions retained.
crates/syndic-storage/tests/draft_candidate_publication.rs	audited	full_bodies	DP-007	All test/scenario and helper bodies, cfg branches and macros examined; only shared construction mechanics proposed; independent bytes, positions, fault timing and intermediate custody assertions retained.
