path	status	review_depth	finding_ids	evidence
crates/syndic-storage/src/draft_piece/admission/assignment.rs	audited	full_bodies	SA-008	Full bodies: assignment prepare/ready/reconcile/failure classes and cfg helpers; retain one-shot readiness and generation retirement.
crates/syndic-storage/src/draft_piece/admission/assignment/mutation.rs	audited	full_bodies	SA-003	Full bodies: least-source assignment, exact receipt/authority accounting and quantum mutation; shared charge finalization candidate.
crates/syndic-storage/src/draft_piece/admission/assignment/test_fixture.rs	audited	full_bodies		Full bodies: limit/frontier/ready-target corruption and inspection helpers; preserve dedicated fault seams, no smaller distinct alternative.
crates/syndic-storage/src/draft_piece/admission/codec.rs	audited	full_bodies	SA-001,SA-009	Full bodies: all tags/key/value codecs, digest helpers, charge calculators and cfg fixtures; borrowed canonical payload candidate; preserve V7 bytes.
crates/syndic-storage/src/draft_piece/admission/index.rs	audited	full_bodies	SA-002,SA-006,SA-009	Full bodies: readers/ledger, deterministic IDs, occupancy, assignment/consumption and successor assembly; retain bounded authenticated storage.
crates/syndic-storage/src/draft_piece/admission/index/test_fixture.rs	audited	full_bodies		Full bodies: in-memory node fixture, injected tree/path/height/limit faults and exact footprint results; domain-specific test seams retained.
crates/syndic-storage/src/draft_piece/admission/index/tree_edit.rs	audited	full_bodies	SA-002,SA-009	Full bodies: path authentication, copy/split/rewrite, least leaf, reclaim/fresh-key checks; share predicates without allocating point-read paths.
crates/syndic-storage/src/draft_piece/admission/mod.rs	audited	declarations_only		All declarations/reexports and feature gates reviewed; no executable bodies or removable required target API.
crates/syndic-storage/src/draft_piece/admission/model.rs	audited	full_bodies	SA-001	Full bodies: limits/charge/tree/source/continuation values and head/receipt records; remove duplicate private Parts representations.
crates/syndic-storage/src/draft_piece/admission/publication.rs	audited	full_bodies	SA-003	Full bodies: seed/prior selection, mutation/reconcile reservation, exact page publication charge/limit logic; preserve per-boundary refusals.
