path	status	review_depth	finding_ids	evidence
crates/beryl-home-store/src/codec.rs	audited	full_bodies		L1-411: Schema macro, exact codec types, bounds and typed page wrappers; retain typed record envelope and finite page contract.
crates/beryl-home-store/src/command.rs	audited	full_bodies	HS-005	L1-603: All reservation, mutation-builder and command builders; retain exact typed bounds, duplicate-key refusal and reserved custody.
crates/beryl-home-store/src/command/participant.rs	audited	full_bodies	HS-005,HS-008	L1-272: All erased mutation/prepared/validation adapters; retain all-prepare-before-contribute ordering, simplify only private handoff/wrappers.
crates/beryl-home-store/src/command/result.rs	audited	full_bodies	HS-008	L1-687: All outcome/custody/finalization/receipt/error mappings; retain non-discardable custody and exact committed receipt classification.
crates/beryl-home-store/src/domain.rs	audited	full_bodies	HS-001,HS-008	L1-570: All domain traits/errors, owner/handle and registry bodies; blueprint/registered metadata copies can share declaration representation.
crates/beryl-home-store/src/domain/attachment.rs	audited	full_bodies	HS-008	L1-303: Factories, slots, capability access, finalization, test seam and Drop; retain synchronous one-owner attachment retirement.
crates/beryl-home-store/src/domain/callback.rs	audited	full_bodies	HS-004	L1-98: Typed error erasure and both severity classifications; share acquisition provenance but preserve ordinary/reconciliation distinction.
crates/beryl-home-store/src/domain/definition.rs	audited	full_bodies	HS-008	L1-99: Blueprint validation/construction and static callbacks; retain schema/codec admission and reuse immutable declaration.
crates/beryl-home-store/src/domain/registration.rs	audited	full_bodies	HS-001	L1-619: Registration, scrub, handle resolution, family creation/open, persistence and validation; share repeated existing-family opening.
crates/beryl-home-store/src/domain/reopen.rs	audited	full_bodies	HS-001	L1-89: Registry reacquisition, schema validation and families; repeated opening/declaration work can be consolidated with registration.
crates/beryl-home-store/src/domain/validation.rs	audited	full_bodies	HS-008	L1-63: Complete exact-family validation and callback mapping; retain exhaustive physical scan separate from routine recovery.
crates/beryl-home-store/src/error.rs	audited	full_bodies		L1-241: All open/close error variants and custody-preserving close error; preserve provenance and recovery of still-owned store.
