path	status	review_depth	finding_ids	evidence
crates/beryl-app/src/main_window/creation.rs	audited	full_bodies	AW-006	Examined 1-112: service closure contracts, reserved admission, cancellation and abandon constructors; no blanket removal of prepared-versus-settled ownership.
crates/beryl-app/src/main_window/creation/command.rs	audited	full_bodies	AW-001	Examined 1-214: button rendering, live tooltip observer, role color/font extraction and pointer/keyboard invocation.
crates/beryl-app/src/main_window/creation/owner.rs	audited	full_bodies	AW-006	Examined 1-473 including actions macro and every test-faults branch: source release, timeout, generation fence, hidden publication and retained retry custody.
crates/beryl-app/src/main_window/creation/work.rs	audited	full_bodies	AW-006	Examined 1-394: every CreationState transition and all acquisition/repair/retirement/abandonment outcomes; fixed per-advance work bound retained.
crates/beryl-app/src/main_window/mod.rs	audited	declarations_only		Examined 1-21: module declarations and reexports only; required target composition modules are not inferred dead.
crates/beryl-app/src/main_window/notices.rs	audited	full_bodies	AW-007	Examined 1-301: admission, exact update/replacement/removal/dismissal, FIFO preemption, protected capacity, diagnostics and disposal.
crates/beryl-app/src/main_window/notices/model.rs	audited	full_bodies	AW-007	Examined 1-367: opaque identities, UTF-8 byte truncation, fixed command storage, token equality/debug and all content constructors.
crates/beryl-app/src/main_window/notices/widget.rs	audited	full_bodies	AW-003,AW-005	Examined 1-659 including test delegate: replacement, inert/appearance fences, focus, scrollbar ownership, callback/event emission, copy and keyboard selection/activation.
crates/beryl-app/src/main_window/notices/widget/detail.rs	audited	full_bodies	AW-003,AW-004	Examined 1-446: all shared detail state, hit testing, word/grapheme selection, caret navigation, scroll-anchor geometry and selection painting.
crates/beryl-app/src/main_window/notices/widget/detail/element.rs	audited	full_bodies	AW-003	Examined 1-226: measured shaping, prefix/geometry scroll validation, guarded pointer routes and text/background/selection paint.
crates/beryl-app/src/main_window/notices/widget/frame.rs	audited	full_bodies		Examined 1-68: complete Element delegation plus measured frame size for required content-free diagnostics; no smaller established replacement.
crates/beryl-app/src/main_window/notices/widget/model.rs	audited	full_bodies		Examined 1-129: allocation/record projection, opaque diagnostic key, event and finite focus/visibility diagnostics; bounded owned copy preserves widget lifetime.
crates/beryl-app/src/main_window/notices/widget/render.rs	audited	full_bodies	AW-001,AW-003,AW-005	Examined 1-568: one bounded detail record and at most three full-rendered commands; all stale-generation guards, tooltip types and theme helpers.
crates/beryl-app/src/main_window/shell.rs	audited	full_bodies	AW-006	Examined 1-237: reserved shell preparation, selection/home validation, prepared/unpublished transfer and host failure variants.
crates/beryl-app/src/main_window/shell/appearance.rs	audited	full_bodies	AW-001,AW-006	Examined 1-141: strict role projection and prepare/validate/commit appearance adapter; atomic same-home composer/notice adoption retained.
crates/beryl-app/src/main_window/shell/custody.rs	audited	full_bodies	AW-006	Examined 1-256: initial-composer retirement and every move-only abandonment/reconciliation wrapper keep exact reservation until settlement.
crates/beryl-app/src/main_window/shell/host.rs	audited	full_bodies	AW-006	Examined 1-548 including fault injection: hidden native construction, first-presentable publication, adapter registration/release and declared-slot root render.
crates/beryl-app/src/main_window/shell/notices.rs	audited	full_bodies	AW-007	Examined 1-363: window/home/incarnation ingress validation, exact event routing, inert retirement, one projection and bounded overlay allocation.
crates/beryl-app/tests/main_window_creation.rs	audited	full_bodies	AW-006	Examined 1-174: cancellation, reused pristine preservation, wrong request identity, pre-admission cancellation and indeterminate acquisition scenarios.
crates/beryl-app/tests/main_window_creation/gpui.rs	audited	full_bodies	AW-002,AW-006	Examined 1-542: mount/finish duplication plus real pointer/accelerator, hidden failure/deadline, capacity, repeated release, contention and late source-release tests.
crates/beryl-app/tests/main_window_creation/support.rs	audited	full_bodies	AW-002	Examined 1-136: exact service requests, seal limits, worker settlement, explicit store-before-directory cleanup and bounded GPUI pumping.
crates/beryl-app/tests/main_window_reservations.rs	audited	full_bodies	AW-006	Examined 1-156: exact 256 capacity, registry clone identity, independent scopes, concurrent admission and release cycles; preserve real contention.
crates/beryl-app/tests/main_window_shell.rs	audited	full_bodies	AW-002,AW-006	Examined 1-445: new/additional acquisition-composer fixture duplication, fake failing host and real hidden publication/custody cases; TempDir ordering overlaps PRE-004.
crates/beryl-app/tests/main_window_shell/custody.rs	audited	full_bodies	AW-006	Examined 1-118: foreign matching identifiers, cancelled prepare/commit, acknowledgement loss, foreign pending reconcile and final exact release.
crates/beryl-app/tests/main_window_shell/gpui.rs	audited	full_bodies	AW-002,AW-006	Examined 1-328: two-window atomic preview, released editor refusal, minimum geometry, post-native failure and stale selected editor publication refusal.
crates/beryl-app/tests/main_window_shell/support.rs	audited	full_bodies	AW-002	Examined 1-116: real registered home/runtime/session bootstrap and bounded large-stack worker/join; not replaced with generic sleeps or fake storage.
crates/beryl-app/tests/notice_arbiter.rs	audited	full_bodies	AW-007	Examined 1-508: every priority, FIFO, saturation/eviction, persistent convergence, revision/exposure/incarnation, UTF-8 command bound and disposal test.
crates/beryl-app/tests/notice_mount.rs	audited	full_bodies	AW-007	Examined 1-486: complete mounted zero-or-one geometry, queued stale dismissal, inert routing, resize, retirement, appearance and independent-window command tests.
crates/beryl-app/tests/notice_mount/support.rs	audited	full_bodies	AW-002,AW-005	Examined 1-274: mounted creation/teardown duplication, real preview publication, notice ingress/projection helpers and command-selector counter mismatch.
crates/beryl-app/tests/notice_widget.rs	audited	declarations_only		Examined 1-14: cfg gate and six test-module declarations only; child files reviewed separately.
crates/beryl-app/tests/notice_widget/commands.rs	audited	full_bodies	AW-005	Examined 1-305: complete key sequences, stale pointer/key release, tooltip/inert paths and scrollbar drag rejection; selector generation mismatch limits evidence.
crates/beryl-app/tests/notice_widget/continuity.rs	audited	full_bodies	AW-003,AW-005	Examined 1-158: replacement/focus/scroll and reflow scenarios; first append fixture exceeds detail cap before append, so projected detail is unchanged.
crates/beryl-app/tests/notice_widget/diagnostics.rs	audited	full_bodies		Examined 1-32: real widget diagnostics exclude private title/detail/command and redact diagnostic identity; retain privacy assertion.
crates/beryl-app/tests/notice_widget/geometry.rs	audited	full_bodies	AW-001,AW-003	Examined 1-309: bounded long detail/three commands, severity paint/font/background, measured frame and entering/visible/leaving state tests.
crates/beryl-app/tests/notice_widget/selection.rs	audited	full_bodies	AW-003,AW-004	Examined 1-201: actual pointer/keyboard UTF-8 copies, selection quads, physical and wrapped row navigation; preserve under unchanged contract.
crates/beryl-app/tests/notice_widget/support.rs	audited	full_bodies	AW-002,AW-005	Examined 1-388: bounded source, real paint/glyph support, duplicate theme-document preparation, mounting and selector helpers.
crates/beryl-app/tests/notification_policy.rs	audited	full_bodies		Examined 1-150: sound-disabled, parent visibility/terminal, lifecycle suppression and unknown/combined attention cases; small existing shared input builder retained.
crates/beryl-app/tests/notification_policy_adapter.rs	audited	full_bodies		Examined 1-70: adapter-level focused attention, unknown suppression and lifecycle mapping; separate production adaptation boundary merits coverage.
crates/beryl-app/tests/notifications.rs	audited	full_bodies		Examined 1-87: enqueue/full/disconnect, candidate values and output-device knowledge transitions; latest-waiting audio change is existing rework, zero deletion credit.
crates/beryl-app/tests/platform_attention.rs	audited	full_bodies		Examined 1-126 including non-Windows cfg: idle wraparound, malformed power data, lid/display/session mapping and unsupported registration/platform behavior.
crates/beryl-app/tests/status_line.rs	audited	full_bodies		Examined 1-655: every metadata/default promotion, developer context, operation gate, passive view count and exact per-thread token-usage scenario; no broader fixture abstraction justified here.
