path	baseline_blob	bytes	lines	kind	status	review_depth	finding_ids	evidence
crates/beryl-app/src/backend_failure.rs	031c33a4c7f58d4d34a4913674ac1ee8068e90b6	2030	69	source	audited	full_bodies		Examined 1-69. Bounded user-detail formatting; character limits intentionally differ from byte-limited diagnostics.
crates/beryl-app/src/branch_discussion_dynamic_tools.rs	85e91eb57cd41a3480624f725c931b8d65b79169	5545	170	source	audited	full_bodies		Examined 1-170. Shared streaming object sink already enforces nonempty scalar and byte bounds; move-only feature dispatch retained.
crates/beryl-app/src/cas_projection/accepted_delivery_recovery.rs	80bf47ca64a07ec58a419badd0e80c13b72f9623	14975	374	source	audited	full_bodies		Examined 1-374, all bodies/types/cfg; Bounded startup scan, one drift restart, exact abandonment and terminal convergence retained.
crates/beryl-app/src/cas_projection/accepted_input_scheduler.rs	4a2966785e5a48e92e482125d4173e4cfb8f5d5f	878	27	source	audited	declarations_only		Examined 1-27, all bodies/types/cfg; All scheduler module declarations and visibility exports retained.
crates/beryl-app/src/cas_projection/accepted_input_scheduler/completion.rs	1a0bd601b25d26a751330a6615a43e31bcb890fd	1377	52	source	audited	full_bodies		Examined 1-52, all bodies/types/cfg; Bounded completion publication/drain remains tied to worker permits.
crates/beryl-app/src/cas_projection/accepted_input_scheduler/context.rs	80acadd539731885c7f006a8b3d3e1cb267e34df	4588	144	source	audited	full_bodies		Examined 1-144, all bodies/types/cfg; Separate renewable steering and terminal ordinary cancellation retained.
crates/beryl-app/src/cas_projection/accepted_input_scheduler/failure.rs	ac113207159262850411a4b4185c06fd6f512783	918	22	source	audited	declarations_only		Examined 1-22, all bodies/types/cfg; All failure modules and typed reexports examined.
crates/beryl-app/src/cas_projection/accepted_input_scheduler/failure/gate.rs	c050f2545b0ca430f66d62c106ed35a5347cbf0e	1791	43	source	audited	full_bodies		Examined 1-43, all bodies/types/cfg; Exact command-gate shutdown/failure election retained.
crates/beryl-app/src/cas_projection/accepted_input_scheduler/failure/health.rs	4c727bef5744a9b2ce08a4642fa9e0d25b9ece44	4183	126	source	audited	full_bodies	AI-002	Examined 1-126, all bodies/types/cfg; AI-002 shares closed traversal while preserving matching-generation unhealthy versus Failed-cut predicates.
crates/beryl-app/src/cas_projection/accepted_input_scheduler/failure/provenance.rs	c0a59364129f6359b31f0e9c0f26e137d97a8eaf	6966	192	source	audited	full_bodies	AI-002	Examined 1-192, all bodies/types/cfg; AI-002 preserves coordinator/admission/publication error provenance and explicit cut evidence while sharing traversal.
crates/beryl-app/src/cas_projection/accepted_input_scheduler/failure/reconciliation.rs	df92979eabd7ba0c18e03af8ad4cb3c2bc353730	2011	51	source	audited	full_bodies		Examined 1-51, all bodies/types/cfg; Persistent failure reconciliation observes then rechecks gate; no timer or retry introduced.
crates/beryl-app/src/cas_projection/accepted_input_scheduler/failure/settlement.rs	0cdaf4d6e13d77c0a9b4bd4b0432ca2fa16dae96	12548	303	source	audited	full_bodies	AI-002	Examined 1-303, all bodies/types/cfg; AI-002 shares nested replay/steering/broker traversal without collapsing cut-only callers.
crates/beryl-app/src/cas_projection/accepted_input_scheduler/failure/types.rs	03ce55b80b137766cbd92efab70d3ab69d4d3c96	968	35	source	audited	full_bodies		Examined 1-35, all bodies/types/cfg; Fatal-dominant merge has redundant final condition; negligible local cleanup.
crates/beryl-app/src/cas_projection/accepted_input_scheduler/handle.rs	bdfbaffd5824beeeaa79efc43733c4c7639e6efb	4638	129	source	audited	full_bodies		Examined 1-129, all bodies/types/cfg; Startup gate, panic quiescence, shutdown and join ownership retained; unmounted lifecycle hooks are required architecture.
