id	disposition	bucket	net_min	net_max	overlap_group	evidence
AP-001	accepted	current_contract	55	85	AP-001	doc/audits/code-simplification/reviews/app-composer-findings.json#AP-001; subsystem-app.json decision
AP-002	accepted	current_contract	20	40	AP-002	doc/audits/code-simplification/reviews/app-composer-findings.json#AP-002; subsystem-app.json decision
AP-003	accepted	current_contract	25	45	AP-003	doc/audits/code-simplification/reviews/app-composer-findings.json#AP-003; subsystem-app.json decision
AP-004	accepted	current_contract	20	35	AP-004	doc/audits/code-simplification/reviews/app-composer-findings.json#AP-004; subsystem-app.json decision
AP-005	accepted	current_contract	130	210	AP-005	doc/audits/code-simplification/reviews/app-composer-findings.json#AP-005; subsystem-app.json decision
AP-006	accepted	current_contract	170	290	AP-006	doc/audits/code-simplification/reviews/app-composer-findings.json#AP-006; subsystem-app.json decision
AP-007	correctness	correctness	0	0	host-request-high-water	doc/audits/code-simplification/reviews/app-composer-findings.json#AP-007; subsystem-app.json decision
AP-008	existing_rework	existing_rework	0	0	AP-008	doc/audits/code-simplification/reviews/app-composer-findings.json#AP-008; subsystem-app.json decision
AC-001	accepted	current_contract	80	120	AC-001	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-001; subsystem-app.json decision
AC-002	accepted	current_contract	35	60	AC-002	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-002; subsystem-app.json decision
AC-003	accepted	current_contract	40	70	AC-003	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-003; subsystem-app.json decision
AC-004	accepted	current_contract	15	25	AC-004	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-004; subsystem-app.json decision
AC-005	deferred	deferred	0	0	AC-005	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-005; subsystem-app.json decision
AC-006	accepted_revised	current_contract	25	35	AC-006	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-006; subsystem-app.json decision
AC-007	deferred	deferred	0	0	AC-007	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-007; subsystem-app.json decision
AC-008	accepted	current_contract	65	100	AC-008	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-008; subsystem-app.json decision
AC-009	accepted	current_contract	30	45	AC-009	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-009; subsystem-app.json decision
AC-010	accepted	current_contract	100	160	AC-010	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-010; subsystem-app.json decision
AC-011	accepted	current_contract	50	85	AC-011	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-011; subsystem-app.json decision
AI-001	accepted	current_contract	12	22	AI-001	doc/audits/code-simplification/reviews/app-input-findings.json#AI-001; subsystem-app.json decision
AI-002	accepted	current_contract	150	240	AI-002	doc/audits/code-simplification/reviews/app-input-findings.json#AI-002; subsystem-app.json decision
AI-003	accepted	current_contract	88	107	AI-003	doc/audits/code-simplification/reviews/app-input-findings.json#AI-003; subsystem-app.json decision
AI-004	accepted	current_contract	35	55	AI-004	doc/audits/code-simplification/reviews/app-input-findings.json#AI-004; subsystem-app.json decision
AI-005	accepted	current_contract	35	45	AI-005	doc/audits/code-simplification/reviews/app-input-findings.json#AI-005; subsystem-app.json decision
AI-006	accepted	current_contract	40	70	AI-006	doc/audits/code-simplification/reviews/app-input-findings.json#AI-006; subsystem-app.json decision
AI-007	accepted_revised	current_contract	100	120	AI-007	doc/audits/code-simplification/reviews/app-input-findings.json#AI-007; subsystem-app.json decision
AI-008	accepted	current_contract	105	115	AI-008	doc/audits/code-simplification/reviews/app-input-findings.json#AI-008; subsystem-app.json decision
AI-009	accepted_revised	current_contract	30	50	AI-009	doc/audits/code-simplification/reviews/app-input-findings.json#AI-009; subsystem-app.json decision
AI-010	accepted	current_contract	10	25	AI-010	doc/audits/code-simplification/reviews/app-input-findings.json#AI-010; subsystem-app.json decision
AI-011	accepted	current_contract	80	130	AI-011	doc/audits/code-simplification/reviews/app-input-findings.json#AI-011; subsystem-app.json decision
AI-012	accepted	current_contract	80	130	AI-012	doc/audits/code-simplification/reviews/app-input-findings.json#AI-012; subsystem-app.json decision
AI-013	accepted	current_contract	415	415	AI-013	doc/audits/code-simplification/reviews/app-input-findings.json#AI-013; subsystem-app.json decision
AI-014	retained	retained	0	0	AI-014	doc/audits/code-simplification/reviews/app-input-findings.json#AI-014; subsystem-app.json decision
AM-001	accepted	current_contract	60	95	AM-001	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-001; subsystem-app.json decision
AM-002	accepted	current_contract	100	160	AM-002	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-002; subsystem-app.json decision
AM-003	accepted	current_contract	20	35	AM-003	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-003; subsystem-app.json decision
AM-004	accepted	current_contract	90	140	AM-004	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-004; subsystem-app.json decision
AM-005	accepted	current_contract	350	600	AM-005	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-005; subsystem-app.json decision
AM-006	accepted	current_contract	180	260	AM-006	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-006; subsystem-app.json decision
AM-007	merged	overlap	0	0	host-request-high-water	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-007; subsystem-app.json decision
AM-008	correctness	correctness	0	0	AM-008	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-008; subsystem-app.json decision
AM-009	retained	retained	0	0	AM-009	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-009; subsystem-app.json decision
AX-001	accepted	current_contract	60	90	AX-001	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-001; subsystem-app.json decision
AX-002	accepted	current_contract	8	12	AX-002	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-002; subsystem-app.json decision
AX-003	accepted	current_contract	135	195	AX-003	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-003; subsystem-app.json decision
AX-004	accepted	current_contract	65	105	AX-004	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-004; subsystem-app.json decision
AX-005	accepted	current_contract	55	85	AX-005	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-005; subsystem-app.json decision
AX-006	correctness	correctness	0	0	AX-006	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-006; subsystem-app.json decision
AX-007	accepted	current_contract	150	185	AX-007	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-007; subsystem-app.json decision
AX-008	accepted_revised	current_contract	30	50	AX-008	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-008; subsystem-app.json decision
AX-009	accepted	current_contract	22	35	AX-009	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-009; subsystem-app.json decision
AX-010	accepted	current_contract	65	100	AX-010	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-010; subsystem-app.json decision
AX-011	accepted	current_contract	65	100	AX-011	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-011; subsystem-app.json decision
AX-012	accepted	current_contract	15	25	AX-012	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-012; subsystem-app.json decision
AX-013	accepted	current_contract	15	25	AX-013	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-013; subsystem-app.json decision
AX-014	accepted	current_contract	25	45	AX-014	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-014; subsystem-app.json decision
AX-015	accepted_revised	current_contract	1640	1725	AX-015	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-015; subsystem-app.json decision
AX-016	accepted	current_contract	160	230	AX-016	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-016; subsystem-app.json decision
AX-017	accepted	current_contract	150	230	AX-017	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-017; subsystem-app.json decision
AX-018	merged	overlap	0	0	source-shape-behavior	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-018; subsystem-app.json decision
AX-019	correctness	correctness	0	0	AX-019	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-019; subsystem-app.json decision
AX-020	existing_rework	existing_rework	0	0	AX-020	doc/audits/code-simplification/reviews/app-projection-findings.json#AX-020; subsystem-app.json decision
AU-001	accepted	current_contract	150	220	AU-001	doc/audits/code-simplification/reviews/app-services-findings.json#AU-001; subsystem-app.json decision
AU-002	accepted	current_contract	20	40	AU-002	doc/audits/code-simplification/reviews/app-services-findings.json#AU-002; subsystem-app.json decision
AU-003	accepted	current_contract	60	85	AU-003	doc/audits/code-simplification/reviews/app-services-findings.json#AU-003; subsystem-app.json decision
AU-004	accepted	current_contract	45	70	AU-004	doc/audits/code-simplification/reviews/app-services-findings.json#AU-004; subsystem-app.json decision
AU-005	accepted	current_contract	20	30	AU-005	doc/audits/code-simplification/reviews/app-services-findings.json#AU-005; subsystem-app.json decision
AU-006	accepted	current_contract	120	190	AU-006	doc/audits/code-simplification/reviews/app-services-findings.json#AU-006; subsystem-app.json decision
AU-007	accepted	current_contract	55	75	AU-007	doc/audits/code-simplification/reviews/app-services-findings.json#AU-007; subsystem-app.json decision
AU-008	accepted	current_contract	170	220	AU-008	doc/audits/code-simplification/reviews/app-services-findings.json#AU-008; subsystem-app.json decision
AU-009	retained	retained	0	0	AU-009	doc/audits/code-simplification/reviews/app-services-findings.json#AU-009; subsystem-app.json decision
AS-001	accepted	current_contract	160	280	AS-001	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-001; subsystem-app.json decision
AS-002	accepted	current_contract	70	130	AS-002	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-002; subsystem-app.json decision
AS-003	accepted	current_contract	50	75	AS-003	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-003; subsystem-app.json decision
AS-004	retained	retained	0	0	AS-004	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-004; subsystem-app.json decision
AS-005	accepted	current_contract	90	130	AS-005	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-005; subsystem-app.json decision
AS-006	accepted	current_contract	65	105	AS-006	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-006; subsystem-app.json decision
AS-007	accepted	current_contract	70	115	AS-007	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-007; subsystem-app.json decision
AS-008	accepted	current_contract	250	400	AS-008	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-008; subsystem-app.json decision
AS-009	accepted	current_contract	220	320	source-shape-behavior	doc/audits/code-simplification/reviews/app-shell-findings.json#AS-009; subsystem-app.json decision
AW-001	accepted	current_contract	45	65	AW-001	doc/audits/code-simplification/reviews/app-window-findings.json#AW-001; subsystem-app.json decision
AW-002	accepted	current_contract	140	210	AW-002	doc/audits/code-simplification/reviews/app-window-findings.json#AW-002; subsystem-app.json decision
AW-003	conditional	contract_alternative	330	430	notice-copy-contract	doc/audits/code-simplification/reviews/app-window-findings.json#AW-003; subsystem-app.json decision
AW-004	accepted	current_contract	8	12	notice-copy-contract	doc/audits/code-simplification/reviews/app-window-findings.json#AW-004; subsystem-app.json decision
AW-005	correctness	correctness	0	0	AW-005	doc/audits/code-simplification/reviews/app-window-findings.json#AW-005; subsystem-app.json decision
AW-006	retained	retained	0	0	AW-006	doc/audits/code-simplification/reviews/app-window-findings.json#AW-006; subsystem-app.json decision
AW-007	retained	retained	0	0	AW-007	doc/audits/code-simplification/reviews/app-window-findings.json#AW-007; subsystem-app.json decision
APP-SYN-001	accepted	current_contract	12	18	app-tempfile-only	crates/beryl-app/tests/syndic_composer_host/support.rs; crates/beryl-app/tests/saved_opening/support.rs; crates/beryl-app/tests/support/tempdir.rs; crates/beryl-app/Cargo.toml; subsystem-app.json APP-SYN-001
APP-SYN-002	correctness	correctness	0	0	app-tempdir-drop-order	crates/beryl-app/tests/main_window_shell.rs; subsystem-app.json APP-SYN-002
