path	status	review_depth	finding_ids	evidence
crates/syndic-storage/examples/accepted_next_promotion.rs	audited	full_bodies		All example bodies: bounded two-level next-source/candidate pagination, unavailable-thread skip and opaque promotion request; retain compile example purpose.
crates/syndic-storage/examples/lineage.rs	audited	full_bodies		All example bodies: native lineage and selected-prefix construction/assertions; compact public API demonstration retained.
crates/syndic-storage/examples/live_event.rs	audited	full_bodies		All example bodies: correlated TurnActivated construction and exact sequence/payload assertions; no substantive cut.
crates/syndic-storage/examples/provider_item_frame.rs	audited	full_bodies		All example/sink bodies: encode then streaming validation/span finish parity; small independent API demonstration retained.
crates/syndic-storage/examples/provider_observation.rs	audited	full_bodies	SC-005	All main/error bodies: five stage outcomes repeat exact custody installation and later-failure handling; seal outcome remains distinct.
crates/syndic-storage/src/admission_attachment.rs	audited	full_bodies	SC-002	All definitions and bodies incl test cfg: bounded 65-head reconstruction, empty-family probes, exact capacity accounting and retirement; preserve custody.
crates/syndic-storage/src/admission_attachment/attempt.rs	audited	full_bodies		All reservation/Drop/attempt bodies incl test cfg: prepared versus dispatched identity and prior-owner rollback are meaningful; preserve distinct admission semantics.
crates/syndic-storage/src/admission_attachment/terminal.rs	audited	full_bodies		All terminal/cleanup bodies: exact-new absence behavior, idle/dispatched guards, inert versus joint reconstruction and writer closure; local repeated mechanics only.
crates/syndic-storage/src/catalog_title.rs	audited	full_bodies		All title snapshot/derivation/normalization bodies: bounded logical-prefix scan, text/hash/index validation, path rules and scalar limits; retain behavior.
crates/syndic-storage/src/catalog_title/snapshot.rs	audited	full_bodies		All store/domain snapshot implementations and range/limit helpers; small adapters preserve acquisition contexts, no substantial standalone saving.
crates/syndic-storage/src/compaction.rs	audited	full_bodies		All derivation/preparation bodies: exact SHA256 domains and length-prefixed native identities; existing continuation hash helper already shared.
crates/syndic-storage/src/content.rs	audited	full_bodies	SC-001	All content/plan/sink/types/helpers: sole UTF8 caller of legacy PreparedPiece helper; ComposerV1 fold separate; concrete specialization candidate.
crates/syndic-storage/src/content/assembler.rs	audited	full_bodies		All assembler bodies: chunk identity/order/length/chain and payload aggregate checks; complete-materialization public API only used by tests, no removal counted.
crates/syndic-storage/src/content/chunks.rs	audited	full_bodies	SC-001	All chunk range/piece bodies: dead image-marker branch and unnecessary generic mixed-piece partitioning for sole UTF8 caller.
crates/syndic-storage/src/content/composer_v1.rs	audited	full_bodies		All fold/sink/driver/type bodies: bounded UTF8 chunk boundaries, atom parity, marker commitments and exact plan parity; retain independent contract checks.
crates/syndic-storage/src/content/decode.rs	audited	full_bodies		All decoder bodies: version/tags/count/UTF8/EOF and constructor validation; independent complete composer oracle retained.
crates/syndic-storage/src/domain.rs	audited	full_bodies	SC-003	All registration/family/reconciliation bodies: repeated family inventories and repeated handle/attachment assembly; preserve exhaustive exact closure classification.
