id	subsystem	disposition	evidence_maturity	bucket	net_min	net_max	overlap_group	subsystem_report	evidence
AC-001	app	proposed	whole_codebase_review	current_contract	80	120	AC-001	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-001; subsystem-app.json decision
AC-002	app	proposed	whole_codebase_review	current_contract	35	60	AC-002	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-002; subsystem-app.json decision
AC-003	app	proposed	whole_codebase_review	current_contract	40	70	AC-003	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-003; subsystem-app.json decision
AC-004	app	proposed	whole_codebase_review	current_contract	15	25	AC-004	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-004; subsystem-app.json decision
AC-005	app	deferred	whole_codebase_review	deferred	0	0	AC-005	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-005; subsystem-app.json decision
AC-006	app	proposed	whole_codebase_review	current_contract	25	35	AC-006	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-006; subsystem-app.json decision
AC-007	app	deferred	whole_codebase_review	deferred	0	0	AC-007	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-007; subsystem-app.json decision
AC-008	app	proposed	whole_codebase_review	current_contract	65	100	AC-008	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-008; subsystem-app.json decision
AC-009	app	proposed	whole_codebase_review	current_contract	30	45	AC-009	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-009; subsystem-app.json decision
AC-010	app	proposed	whole_codebase_review	current_contract	100	160	AC-010	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-010; subsystem-app.json decision
AC-011	app	proposed	whole_codebase_review	current_contract	50	85	AC-011	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-connection-findings.json#AC-011; subsystem-app.json decision
AI-001	app	proposed	whole_codebase_review	current_contract	12	22	AI-001	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-input-findings.json#AI-001; subsystem-app.json decision
AI-002	app	proposed	whole_codebase_review	current_contract	150	240	AI-002	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-input-findings.json#AI-002; subsystem-app.json decision
AI-003	app	proposed	whole_codebase_review	current_contract	88	107	AI-003	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-input-findings.json#AI-003; subsystem-app.json decision
AI-004	app	proposed	whole_codebase_review	current_contract	35	55	AI-004	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-input-findings.json#AI-004; subsystem-app.json decision
AI-005	app	proposed	whole_codebase_review	current_contract	35	45	AI-005	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-input-findings.json#AI-005; subsystem-app.json decision
AI-006	app	proposed	whole_codebase_review	current_contract	40	70	AI-006	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-input-findings.json#AI-006; subsystem-app.json decision
AI-007	app	proposed	whole_codebase_review	current_contract	100	120	AI-007	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-input-findings.json#AI-007; subsystem-app.json decision
AI-008	app	proposed	whole_codebase_review	current_contract	105	115	AI-008	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-input-findings.json#AI-008; subsystem-app.json decision
AI-009	app	proposed	whole_codebase_review	current_contract	30	50	AI-009	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-input-findings.json#AI-009; subsystem-app.json decision
AI-010	app	proposed	whole_codebase_review	current_contract	10	25	AI-010	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-input-findings.json#AI-010; subsystem-app.json decision
AI-011	app	proposed	whole_codebase_review	current_contract	80	130	AI-011	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-input-findings.json#AI-011; subsystem-app.json decision
AI-012	app	proposed	whole_codebase_review	current_contract	80	130	AI-012	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-input-findings.json#AI-012; subsystem-app.json decision
AI-013	app	proposed	whole_codebase_review	current_contract	415	415	AI-013	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-input-findings.json#AI-013; subsystem-app.json decision
AI-014	app	retained	whole_codebase_review	retained	0	0	AI-014	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-input-findings.json#AI-014; subsystem-app.json decision
AM-001	app	proposed	whole_codebase_review	current_contract	60	95	AM-001	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-001; subsystem-app.json decision
AM-002	app	proposed	whole_codebase_review	current_contract	100	160	AM-002	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-002; subsystem-app.json decision
AM-003	app	proposed	whole_codebase_review	current_contract	20	35	AM-003	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-003; subsystem-app.json decision
AM-004	app	proposed	whole_codebase_review	current_contract	90	140	AM-004	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-004; subsystem-app.json decision
AM-005	app	proposed	whole_codebase_review	current_contract	350	600	AM-005	reviews/subsystem-app.json	doc/audits/code-simplification/reviews/app-mount-findings.json#AM-005; subsystem-app.json decision
