path	status	review_depth	finding_ids	evidence
crates/beryl-backend/src/auth.rs	audited	full_bodies		Complete auth generation, file lifecycle, redacted Debug and Drop reviewed; existing getrandom/sha2/hex already own primitive work. Preserve create_new uniqueness, explicit WSL backend path and cleanup failure visibility.
crates/beryl-backend/src/command.rs	audited	full_bodies	BR-009	Complete Host/WSL launch validation, fixed CAS arguments, POSIX quoting and process-group cleanup commands reviewed; already uses shlex. Runtime-specific process isolation and quoting remain required; no substantial contract-preserving cut identified.
crates/beryl-backend/src/dynamic_tool.rs	audited	full_bodies		Complete dynamic call types, atomics, non-cloneable response authority, argument page ownership and abandon mapping reviewed. Shared Arc bridges parser completion and consumer; lifecycle states protect dispatch and should remain.
crates/beryl-backend/src/dynamic_tool/registration.rs	audited	full_bodies		Complete registration wire types, serde attributes, singleton discriminants and constructors reviewed. Existing serde does structural work; direct function and namespace registrations are genuine pinned variants.
crates/beryl-backend/src/dynamic_tool/response.rs	audited	full_bodies		Complete dynamic response wire enum, constructors and serde mapping reviewed; already compact serialization through existing serde.
crates/beryl-backend/src/exact_interruption.rs	audited	full_bodies		Complete durable and volatile exact-interruption wrappers, correlations, fence, shared authorization core and outcome methods reviewed. Common core already consolidated; public families preserve distinct authority and reconciliation obligations.
crates/beryl-backend/src/foreground.rs	audited	full_bodies		Complete immutable pre-bind capacity and diagnostic declarations/methods reviewed; finite bound and content-free counters are genuine session controls.
crates/beryl-backend/src/lib.rs	audited	full_bodies		All module/re-export and lifecycle cfg declarations plus embedded examples examined. Public capability and protocol exports mirror genuine feature boundaries; pre-existing source documentation is outside requested cleanup authority.
crates/beryl-backend/src/lifecycle_test_support.rs	audited	full_bodies		Complete decoder/test adapters, error mapping, counting/split/loss readers, test capability constructors and process helpers reviewed. Behavioral fault seams are useful; repetitive fixture setup to be assessed across test callers.
crates/beryl-backend/src/lifecycle_test_support/response.rs	audited	full_bodies		All test expectation variants, exact fixed-family installation and terminal-state projection examined; repetition small and intentionally mirrors supported families. No rollback fixture family exists.
crates/beryl-backend/src/lifecycle_test_support/turn.rs	audited	full_bodies		Both compact lifecycle test constructors reviewed; private production constructors remain behind explicit test-only module.
crates/beryl-backend/src/managed_process.rs	audited	full_bodies	BR-009	Complete supervision and teardown bodies including Windows job FFI, Send safety claim and non-Windows fallback examined. WSL group cleanup differs from Host job lifetime; library fit requires preserving bounded teardown and error precedence.
crates/beryl-backend/src/ordered_turn_stream.rs	audited	full_bodies	BR-007	Complete ordered sink operations, typed completions, ownership-preserving errors, Debug and default steering methods reviewed. Synchronous backpressure and rejected-operation return are real contracts; derive-based presentation cleanup potentially shares root boilerplate finding.
crates/beryl-backend/src/protocol.rs	audited	full_bodies		Complete module and re-export declarations reviewed; no implementation layer to delete.
crates/beryl-backend/src/protocol/response.rs	audited	full_bodies		Complete response submodule and re-export declarations reviewed; fixed inline helper remains private.
crates/beryl-backend/src/protocol/response/error.rs	audited	full_bodies		Complete bounded diagnostic projection, exact error verdict and formatting reviewed; retaining truncation and pre-core rejection semantics is required.
crates/beryl-backend/src/protocol/response/fixed.rs	audited	full_bodies		Complete InlineUtf8 validation/projection and bounded_text macro examined. Two generated domain wrappers already share mechanics; optional cross-package fixed-string primitive requires cost evidence, not blanket heap allocation.
crates/beryl-backend/src/protocol/response/initialize.rs	audited	full_bodies		Complete initialize platform and exact version parser, same-session config proof and response wrappers examined. Exact version classification preserves malformed-vs-mismatch errors; semver crate would add generality for ~50 lines.
crates/beryl-backend/src/protocol/response/model.rs	audited	full_bodies	BR-010	Complete model paging, limit validation, effort bitset, record accessors and fixed Option-array storage examined. ArrayVec candidate can simplify compact collection mechanics but replacement must preserve one boxed fixed page and non-cloneable records.
crates/beryl-backend/src/protocol/response/result.rs	audited	full_bodies		Complete closed response-family payloads, exact empty acknowledgements and unsubscribe wire mapping reviewed. Variants carry real response correlation, not redundant generic JSON envelopes.
crates/beryl-backend/src/provider_observation.rs	audited	full_bodies		Complete provider lifecycle routes, fragments, errors and abandonment map examined. Redacted fragment Debug can enable derives; vocabulary and ownership remain necessary.
crates/beryl-backend/src/provider_observation/grammar.rs	audited	full_bodies		Complete provider field/control/scalar/enum vocabulary and finite-float wrapper examined. Closed semantics are shared by parser/store and must survive any helper consolidation.
crates/beryl-backend/src/server.rs	audited	full_bodies		Complete server launch/provenance, connector retry, stderr lifecycle and teardown examined. Two connect retry loops can share a small private deadline helper; runtime ownership/auth cleanup remain distinct from session lifetime.
crates/beryl-backend/src/session.rs	audited	full_bodies	BR-004	Complete 1409-line file examined in three contiguous slices, including every error variant, test cfg seam, constructors, dispatch adapter and server-response serialization. ManagedWebSocketError stores derivable kind/message; transport profile forwarding can share private core while retaining distinct immutable profiles.
crates/beryl-backend/src/session/bounded_request.rs	audited	full_bodies	BR-001	Complete initialization/admission/model/config/unsubscribe dispatch and exact expectation state reviewed. Repeated generic response-wait pump participates in BR-001; admission provenance and two-sessionFlags proof remain required.
crates/beryl-backend/src/session/bounded_request/lineage.rs	audited	full_bodies		Complete start/resume/fork writers and identity checks reviewed. Start/fork fresh capabilities and resume matching-thread check cannot be collapsed; existing shared lineage response mapper is sufficient.
crates/beryl-backend/src/session/bounded_request/thread_read.rs	audited	full_bodies		Complete maintenance-only metadata read and profile/identity gates reviewed. Profile order and mismatch teardown must stay; no substantial standalone cut.
crates/beryl-backend/src/session/bounded_request/wire.rs	audited	full_bodies		Complete method-owned serde request structs and constructors, exact flags, opt-out list and helper examined. Existing serde replaces wire mechanics; declaration consolidation alone offers little net value.
crates/beryl-backend/src/session/compaction.rs	audited	full_bodies	BR-001	Complete compaction target/fence/correlation wrappers, epoch checks, dispatch and response wait reviewed. BR-001 shares neutral receive pump only; compaction authorization and exact rejection interpretation stay local.
crates/beryl-backend/src/session/incoming.rs	audited	full_bodies		Complete single approval envelope plus closed ReceiveOutcome and responder accessors reviewed. Small representation supports queue ownership and exact responder identity.
crates/beryl-backend/src/session/interruption.rs	audited	full_bodies	BR-001	Complete durable/volatile shared interrupt dispatcher, authorization validation, verdict normalization and profile gates examined. BR-001 removes only shared wait mechanics; no second recommendation for already-shared durable/volatile core.
crates/beryl-backend/src/session/ordered_turn_stream.rs	audited	full_bodies	BR-001	Complete sink binding, prefix replay, ordered polling, approval route/denial/error settlement and normalization examined. Its approval continuation policy is the source for BR-001; pending failures retain exact ownership.
crates/beryl-backend/src/session/outbound.rs	audited	full_bodies	BR-003	Complete generic source-failure slot, serde writer adapter, dispatch metrics and byte-tracked write loop examined. Existing source-aware core already shared by input and recovery; first failure and successful-byte cut must remain.
crates/beryl-backend/src/session/pre_bind.rs	audited	full_bodies	BR-002	Complete custom two-stack linked FIFO, reversal/back traversal, diagnostics and iterative Drop examined. BR-002 proposes std VecDeque with explicit logical admission bound and same diagnostic increments.
crates/beryl-backend/src/session/streamed_admission.rs	audited	full_bodies		Complete shared start/steer predispatch reservation and gate ordering examined. Existing consolidation is retained and not re-recommended; it precedes any source header/page access.
crates/beryl-backend/src/session/streamed_turn_start.rs	audited	full_bodies	BR-001	Complete streamed start writer, verifier install/remove, response/rejection correlation and wait reviewed. BR-001 shares neutral wait only; two echo completion checks and cleanup remain specific to start.
crates/beryl-backend/src/session/streamed_turn_steer.rs	audited	full_bodies	BR-001	Complete streamed steer writer/source disposal, expected turn check and wait reviewed. BR-001 shares neutral wait only; successful acknowledgement intentionally precedes delayed echo verification.
crates/beryl-backend/src/session/thread_injection.rs	audited	full_bodies	BR-001	Complete consumed fresh-idle injection, gates, source-aware dispatch, response wait and transport-loss classification reviewed. BR-001 shares wait only; every outcome consumes target and is never retry authority.
crates/beryl-backend/src/thread_injection.rs	audited	full_bodies		Complete preflight limits, consumed injection outcomes and bounded rejection projection reviewed. Canonical recovery limits are semantic authority; no whole-history cap proposal.
crates/beryl-backend/src/thread_injection/source.rs	audited	full_bodies		Complete source identity/revision/page validation, lease ownership, redacted Debug and error conversion examined. Exact page metadata is required for replay consistency.
