id	disposition	bucket	net_min	net_max	overlap_group	evidence
SS-001	proposed	current_contract	180	270	SS-001	Keep one explicit variant-to-byte list; never derive tags from Rust order. The byte maps remain format authority inputs and are independent of the production family list SC-003.
SS-002	proposed	current_contract	70	110	SS-002	Reuse only matching counter/nonce mechanics while preserving nominal types, const interfaces and distinct error contracts; no universal value hierarchy.
SS-003	proposed	current_contract	28	42	SS-003	Remove the private context-owner mirror across typed key, codec, reader, writer, scrub and fault callers. The local ScanKey trait permits the model enum directly; keep key-specific EOF/error mapping.
SS-004	proposed	current_contract	95	145	SS-004	Use private changed-field updates followed by the same validator. Compaction transitions and provider completion remain distinct domain operations; this does not authorize merging their state machines.
SS-005	deferred	deferred	0	0	SS-005	Do not book a gain for correlated-option representation alone. Public optional getters and constructor adapters can replace every deleted encoder presence check; prototype one record only after adjacent accepted refactors.
SS-006	proposed	current_contract	13	18	SS-006	Keep exact CodecError messages and InvalidValue's current source. Existing thiserror is sufficient and source inference must be checked.
SS-007	proposed	current_contract	25	55	SS-007	Share the exact ten-field span body and existing primitives; keep family EOF and diagnostic context separate. This is disjoint from scalar tags and counters.
SS-008	proposed	current_contract	0	0	SS-008	Recommend borrowed resource decoding as a zero-line allocation cleanup. Lifetime changes and retained public validation offset any plausible LOC reduction.
SS-009	deferred	contract_alternative	0	0	SS-009	Defer to an independently authorized new value format; Postcard cannot be hidden under exact V7. It overlaps local value-codec work and any bounded-editor redesign; no gross codec area is booked.
SS-010	existing_rework	existing_rework	0	0	SS-010	Known active rework: input-gate V4 versus target V5/RepairRequired and 86 versus 90 families. Missing required families/variants are additions, not removable code or a test expectation typo.
SP-001	proposed	current_contract	100	170	SP-001	One physical PIV1 byte writer may serve two source traversals. Keep typed/reused text and replay-selector acquisition separate, and retain the independent streaming validator and bounded decoder oracle.
SP-002	proposed	current_contract	55	80	SP-002	Share the pure checked item transition; retain observation issue classification and exact error precedence. It does not replace source-event or durable build admission.
SP-003	proposed	current_contract	180	255	SP-003	Combine compiler 90–130 and typed mutation 90–125 once, for 180–255. Both retain one optional span until final digest; later durable encoding, source verification and exact completion comparison remain.
SP-004	proposed	current_contract	25	40	SP-004	Derive the text summary through the existing full-EOF selection scan. Length-prefixed encoding still needs length knowledge before output, so its summary/output traversals are not counted as eliminated.
SP-005	proposed	current_contract	350	550	SP-005	Share positive observation-event setup only. Its observation/compiler/issue call sites are disjoint from SC-009's unconditionally filtered provider record construction and SX-007's typed-frame fixtures.
SP-006	retained	retained	0	0	SP-006	Retain distinct streaming validation, bounded independent decoding and typed PIV1 values. Ordered duplicate keys, floating bits, reused source ranges and unbounded streamed strings are not a generic JSON DOM contract.
SP-007	retained	retained	0	0	SP-007	Retain incremental exact locator validation and existing std IPv6 reuse. url's owned normalized string does not replace this bounded state machine.
SA-001	proposed	current_contract	110	170	SA-001	Remove the duplicate private record/Parts representation and borrow canonical payloads; opaque public records and distinct durable head/receipt roles remain.
SA-002	proposed	current_contract	35	80	SA-002	Share authenticated descriptor predicates, not editor paths. Root/child selection, path capture, minimum fanout and existing error policy remain explicit for each reader.
